,Palavras,Frequência
992,still tonight,1
993,may call later pls,2
994,pattern recently crap weekends,1
995,sore throat scratches talk,1
996,yes da plm ur office,1
997,around still asleep v,1
998,lol forgot eh yes bring babe,1
999,good find way,1
1000,use foreign stamps country good lecture,1
1001,yup bathe liao,1
1002,happy new year man,1
1003,oh mr sheffield wanna play game okay boss nanny give raise give one,1
1004,zoe hit im fucking shitin il defo try hardest cum morow luv u millions lekdog,1
1005,hello baby get back mom setting computer filling belly goes loverboy miss already *sighs*,1
1006,blankets sufficient thx,1
1007,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt,1
1008,edison rightly said fool ask questions wise man answer know us speechless viva gm gn ge gnt,2
1009,talking thats de wont,1
1010,today going college able atten class,1
1011,class holla later,1
1012,mmm thats better got roast id b better drinks good indian,1
1013,know someone know fancies call find pobox lshb p,1
1014,come round,1
1015,thing change sentence want concentrate educational career im leaving,2
1016,flirting txt girl bloke ur name age eg girl zoe join get chatting,1
1017,walked hour c u doesnt show care wont u believe im serious,1
1018,days euro kickoff u kept informed latest news results daily unsubscribe send get euro stop,2
1019,available soiree june rd,1
1020,u noe wat time e place dat sells closes,1
1021,got another job one hospital data analysis something starts monday sure thesis got finished,1
1022,jay getting really impatient belligerent,1
1023,hiya comin bristol st week april les got rudi new yrs eve snoring drunk u bak college yet work sends ink bath,1
1024,work please call,3
1025,u drive lor,1
1026,ard like dat,1
1027,tell female v throwing deciding get,1
1028,eastenders tv quiz flower dot compare d= violet e= tulip f= lily txt e f chance win £ cash wkent p,2
1029,working technical support voice process networking field,1
1030,might come kerala days prepared take leave finalise dont plan travel visit need finish urgent works,1
1031,ok sure time tho sure get library class try see point good eve,1
1032,new local dates area lots new people registered area reply date start www flirtparty us replys,1
1033,fine bitch later,1
1034,mum went dentist,1
1035,free call sir waiting,1
1036,meeting u work tel shall work tomorrow,2
1037,someone u know asked dating service contact cant guess call revealed po box wu,2
1038,jus finish bathing,1
1039,alright make sure car back tonight,1
1040,urgent trying contact u todays draw shows £ prize guaranteed call land line claim c validhrs,1
1041,dear u invited xchat final attempt contact u txt chat,1
1042,lul im gettin juicy gossip hospital two nurses talking fat gettin one thinks shes obese oyea,1
1043,aight ill get fb couple minutes,1
1044,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,1
1045,download clear movies dvd copies,1
1046,yep pretty sculpture,1
1047,convey regards,3
1048,watching surya movie pm vijay movie pokkiri,1
1049,tell happen dont behave like ok need say,1
1050,u get pic msgs phone,1
1051,send someone else,1
1052,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem,3
1053,love start attraction feel need every time around first thing comes thoughts would start day end every time dream love every breath name life happen around life named would cry give happiness take sorrows ready fight anyone love craziest things love proove anyone girl beautiful lady whole planet always singing praises love start making chicken curry end makiing sambar life beautiful get every morning thank god day would like say lot tell later,1
1054,fr ndship like needle clock though v r clock v r nt able met evn v meet itz seconds bt v alwys stay conected gud,1
1055,think spatula hands,1
1056,never nothing,1
1057,awarded sipix digital camera call landline delivery within days cs box mbp yr warranty ppm p p£,2
1058,goodmorning today late lt decimal gt min,2
1059,win urgent mobile number awarded £ prize guaranteed call land line claim valid hrs ppm,1
1060,please da call mistake side sorry da pls da goto doctor,1
1061,r meeting,1
1062,well weather cali great complexities great need car move freely taxes outrageous great place sad part missing home,1
1063,reached home tired come tomorro,2
1064,ryder unsold gibbs,1
1065,dear subscriber ur draw £ gift voucher b entered receipt correct ans elvis presleys birthday txt answer,1
1066,fret buy ovulation test strips send wont get til like march send postal address u alright okay,1
1067,gifts trying get throw cliff something,1
1068,ne thing interesting good birthday u wrking nxt started uni today,1
1069,busy come point figure tomorrow,1
1070,yeah go bored depressed sittin waitin phone ring hope wind drops though scary,1
1071,black shirt n blue jeans thk c ü,1
1072,aiyah sorry lor watch tv watch forgot check phone,1
1073,message important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting,1
1074,hen night going swing,1
1075,good afternoon love goes day woke early online waiting hmmm italian boy online see *grins*,1
1076,someone smoke every time smoked last two weeks calling texting wanted smoke,1
1077,get headache trying figure u trust math promise,1
1078,first time dhoni rocks,1
1079,ok ill tell company,1
1080,awesome think get th usf time tonight,1
1081,means still think teju,1
1082,good movie ok leave hourish,1
1083,kallis home ground amla home town durban,1
1084,lets make saturday monday per convenience,1
1085,hey time driving fri go evaluation fri,1
1086,£ price claim call,1
1087,going lunch wif family aft dat go str orchard lor,1
1088,bored speed dating try speedchat txt speedchat like em txt swap get new chatter chat poboxwwq p msg rcd,1
1089,cancel cheyyamo get money back,1
1090,ok ok ok whats ur todays plan,3
1091,good morning princess,2
1092,aiyar sorry lor forgot tell u,1
1093,taking part mobile survey yesterday texts use however wish get txts send txt c www txt com p,1
1094,tonight mate catching sleep new number way,1
1095,height oh shit situation guy throws luv letter gal falls brothers head whos gay,1
1096,ur hmv quiz cash balance currently £ maximize ur cash send hmv p msg,1
1097,check errors difficulties correction,1
1098,howz pain hope u r fine,1
1099,u wake already thanx e tau sar piah quite nice,1
1100,k need login anything,1
1101,dont forget place many free requests stchoice co uk wish information call,1
1102,lol busy,1
1103,* u wearing,1
1104,oh usual vijay film different,1
1105,know u u know send chat let find p msg rcvd hg suite lands row wjhl ldn years,3
1106,good day mine really busy much tomorrow night,1
1107,way send shade stuff wonderful,1
1108,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study,1
1109,thank winner notified sms good luck future marketing reply stop customer services,1
1110,babe lost,1
1111,ok help ask working tmr,1
1112,driving raining get caught e mrt station lor,1
1113,drop tank,1
1114,said text one time,1
1115,ok go change also,1
1116,girls many local u r virgins r ready fil ur every sexual need u fil text cute £ p,1
1117,u find sitter kaitlyn sick slept day yesterday,1
1118,sorry man accidentally left phone silent last night check til got,1
1119,hey something came last min think wun signing tmr hee,1
1120,adult would learn experience real danger dont like peeps using drugs dont need comment,1
1121,hey veggie pizza,1
1122,yun buying school got offer plus,1
1123,sure neighbors didnt pick,1
1124,k sent,3
1125,well im computerless time make oreo truffles,1
1126,haha yeah see sec,1
1127,number sir,2
1128,lol hot air balloon,1
1129,ok bus come soon come otherwise tomorrow,2
1130,msgs r time pass silently say thinking u right also making u think least moment gd nt swt drms shesil,1
1131,yeah probably swing roommate finishes girl,1
1132,got takes take part wrc rally oz u lucozade energy text rally le p see packs lucozade co uk wrc itcould u,2
1133,happy new years melody,1
1134,ü dun need pick ur gf,1
1135,yay better told girls either,1
1136,horrible u eat macs eat u forgot abt already rite u take long reply thk toot b b prepared wat shall eat,1
1137,say fantastic chance anything need bigger life lift losing live think would first person die n v q,1
1138,nw came hme da,1
1139,outside islands head towards hard rock run,1
1140,day class class,1
1141,chennai velachery,1
1142,flippin shit yet,1
1143,k give sec breaking lt gt cstore,1
1144,much bad avoid like,1
1145,yo around got car back,1
1146,annoying,1
1147,goodmorning today late lt gt min,1
1148,point hangin mr right makin u happy,1
1149,come alive better correct good looking figure,1
1150,case guess see campus lodge,1
1151,done,2
1152,come home one last time wont anything trust,1
1153,night worrying appt shame missed girls night quizzes popcorn hair,1
1154,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabe co uk pics £ wk,1
1155,ok c ya,1
1156,new voicemail please call,3
1157,said matter mind saying matter,1
1158,al moan n e thin goes wrong fault al de arguments r fault fed himso bother hav go thanx xx,1
1159,neft transaction reference number lt gt rs lt decimal gt credited beneficiary account lt gt lt time gt lt gt,2
1160,otherwise part time job na tuition,3
1161,know called,1
1162,also da feel yesterday night wait til day night dear,1
1163,thanks understanding trying tell sura,1
1164,win year supply cds store ur choice worth £ enter £ weekly draw txt music ts cs www ldew com subs winppmx,2
1165,whole car appreciated last two dad map reading semi argument apart things going ok p,1
1166,sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr,1
1167,need strong arms,1
1168,also maaaan missing,1
1169,bday real april,1
1170,guessin gonna,1
1171,ok come ur home half hour,2
1172,yo game almost want go walmart soon,1
1173,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,1
1174,text creepy like think forgot,1
1175,would good … phone tomo lunchtime shall organise something,1
1176,damn make tonight want wait til tomorrow,1
1177,k k also fine complete course,2
1178,true passable get high score apply phd get years salary makes life easier,1
1179,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends p tone reply hl info,2
1180,prakesh know,1
1181,teach apps da come college,1
1182,rofl betta invest anti aging products,1
1183,sir receive account another hr time sorry delay,1
1184,reply name address receive post weeks completely free accommodation various global locations www phb com ph p,1
1185,ü submitting da project tmr rite,1
1186,free entry £ weekly comp send word enter c www textcomp com cust care,1
1187,jus ans lar u noe later,1
1188,want send something sell fast lt gt k easy money,1
1189,got * things may * pub later,1
1190,finish meeting call,1
1191,lol ok snatch purse,1
1192,hello drivby quit edrunk sorry iff pthis makes senrd dnot ^ dancce drum n basq ihave fun nhite x ros xxxxxxx,1
1193,much getting,1
1194,ur paper e morn aft tmr,1
1195,dear relieved westonzoyland going plan end,1
1196,hope great new semester wish best made greatness,1
1197,oh yes speak txt u hmm u get email,1
1198,want show world princess europe,1
1199,nobody decide eat dad wants chinese,1
1200,shoot docs waiting room,1
1201,going dinner soon,1
1202,hello site download songs urgent pls,1
1203,know u mean king havin credit goinbed night night sweet onlymore sleep,1
1204,horrible gal sch stuff come u got mc,1
1205,hi hun im comin nite tell every im sorry hope u ava goodtime oli rang melnite ifink mite b sorted il explain everythin mon lrs x,1
1206,please call immediately urgent message waiting,4
1207,yeah like goes like friends imma flip shit like half hour,1
1208,mum say wan go go shun bian watch da glass exhibition,1
1209,plan pongal,1
1210,wait till end march el nino gets oh,1
1211,yet chikku going room nw bus,1
1212,also cbe pay,1
1213,honey boo missing u,1
1214,sent jd customer service cum accounts executive ur mail id details contact us,2
1215,yo parents gettin cash good news picked downstem,1
1216,thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy,1
1217,hungry gay guys feeling hungry call p min stop texts call p min,1
1218,ok wahala remember friend need,1
1219,see half hour,2
1220,im inperialmusic listeningthe weirdest track ever byleafcutter john sounds like insects molested someone plumbing remixed evil men acid,1
1221,hey sorry didntgive ya bellearlier hunny bedbut mite go thepub ltr uwana mt loads luv jenxxx,1
1222,seriously tell exact words right,1
1223,u get phone wanna chat set meet call u cum moro luv jane xx calls£ minmoremobsemspoboxpowa,1
1224,tee hee lecture cheery bye bye,1
1225,sorry chikku cell got problem thts nt able reply u msg u,1
1226,still havent collected dough pls let know go place sent get control number,1
1227,network operator service free c visit biz,1
1228,let know contact settled room lets know ok,1
1229,wot u u weirdo,1
1230,lor,1
1231,dont put phone silent mode ok,1
1232,meet ü depends ü wan lor,1
1233,waiting tv show start lor u leh still busy ur report,1
1234,oh ho first time u use type words,3
1235,one stalk profiles,1
1236,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt,2
1237,yes thought thanks,1
1238,drinkin ok,1
1239,wondering others took,1
1240,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng,3
1241,dog must always wait till end day word run time cell already,1
1242,happy new year u,1
1243,hey great deal farm tour pm pax deposit may,1
1244,eat jap done oso aft ur lect wat ü got lect rite,1
1245,hey babe saw came online second disappeared happened,1
1246,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes,1
1247,happy birthday may ur dreams come true,1
1248,aiyah u ok already lar e nydc wheellock,1
1249,tell said eat shit,1
1250,sure driving reach destination soon,1
1251,k much th fifty,1
1252,daily text – favour time,1
1253,great hear settling well happenin wit ola,1
1254,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,1
1255,tot u reach liao said shirt,1
1256,fran decided go n e way im completely broke knackered got bout c u mrw love janx p dads fone credit,1
1257,right make appointment right,1
1258,designation software developer may get chennai,1
1259,enjoy jamster videosound gold club credits new videosounds logos musicnews get fun jamster co uk help call,1
1260,get lions england tone reply lionm mono lionp poly go www ringtones co uk original n best tones gbp network operator rates apply,2
1261,jokin oni lar ü busy wun disturb ü,1
1262,ok careful text drive,1
1263,always even spirit get bb soon trying sure need,1
1264,u r much close heart u go away shattered plz stay,1
1265,love u babe r u sure everything alrite idiot txt bak girlie,1
1266,abt making pics bigger,1
1267,got got colours lor one colour quite light n e darker lor actually done styling hair,1
1268,whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say jus walk wid little amp promise bring back ur smile,1
1269,nothing ok anyway give treat,1
1270,win newest “harry potter order phoenix book reply harry answer questions chance first among readers,1
1271,correct work today,1
1272,sent scream moan bed princess,1
1273,wake long ago already dunno thing,1
1274,oh getting even u u,1
1275,thk shd ok said plus minus ü leave line paragraphs,1
1276,call plz number shows coveragd area urgnt call vasai amp reach clock call plz,1
1277,yeah jay sort fucking retard,1
1278,sorry bathroom sup,1
1279,ur balance £ ur next question sang uptown girl answer txt ur answer good luck,1
1280,exam february wish great day,1
1281,dont know come ask questions like dont mistake,1
1282,aight rush ask jay,1
1283,good morning plz call sir,3
1284,ok lar u sleep early nite,1
1285,oh icic k lor den meet day,1
1286,oh half hour much longer syria canada eh wow must get much work done day us extra time *grins*,1
1287,sometimes put walls around hearts safe getting hurt find cares enough break walls amp get closer goodnoon,1
1288,sweet may may go u meet carlos gauge patty interest,1
1289,buying today ü need c meh,1
1290,aight sorry take ten years shower plan,1
1291,every monday nxt week vl completing,1
1292,might ax well im,1
1293,chill another hrs could sleep pain surgical emergency see unfolds okay,1
1294,yeah try scrounge something,1
1295,crazy ar married ü like gd looking guys frens like say korean leona fave dun thk aft thinking mayb prob go,1
1296,somewhere fredericksburg,1
1297,que pases un buen tiempo something like,1
1298,ok stay night xavier sleeping bag getting tired,1
1299,doesnt need test,1
1300,nothing much chillin home super bowl plan,1
1301,freeday sexy st george day pic jordan txt pic dont miss every wk saucy celeb pics c pocketbabe co uk £ wk,2
1302,bugis oso near wat,1
1303,yo theres class tmrw right,1
1304,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world gnun sent via waysms com,1
1305,goodnight sleep well da please take care pa please,1
1306,baaaaabe misss youuuuu go teach class,1
1307,u ned convince tht possible witot hurting feeling main,1
1308,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,1
1309,start sending blackberry torch nigeria find buyer like month tell dad buy bb anyone oh,1
1310,lt gt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt mins whn u read,1
1311,yo dude guess got arrested day,1
1312,shuhui say change suntec steamboat u noe r u,1
1313,dance river,1
1314,yetunde sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger,1
1315,hey really pretty late want go lesson first join reaching tp mrt,1
1316,hot live fantasies call p per min ntt ltd po box croydon cr wb k,2
1317,bbq sat mine ish ur welcome come,1
1318,know thing wrong everyso often panicks starts goin bout bein good enough …,1
1319,alright good night,1
1320,try making another butt,1
1321,hope feeling great pls fill abiola,1
1322,though shd go n fun bar town something – sound ok,1
1323,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interesting,3
1324,bears pic nick tom pete dick fact types try gay chat photo upload call p min stop texts call,1
1325,new mobiles must go txt nokia collect today £ www tc biz optout gbp mtmsg txtauction,2
1326,finally ready fyi,1
1327,auntie huai juan never pick phone,1
1328,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers calloptout lf,2
1329,ya tel wats ur problem,1
1330,dnt wnt tlk wid u,2
1331,spend days waiting ideal path appear front us forget paths made walking waiting goodnight,1
1332,ok arm feeling weak cuz got shot go another time,1
1333,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle,1
1334,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h,3
1335,ok popped ask bout something said around tonght wen girl comes,1
1336,e best ur exam later,1
1337,hope ur head hurt much ploughing way pile ironing staying chinky tonight come round like,1
1338,oh k think wi nz players unsold,1
1339,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight,1
1340,wonder got online love gone net cafe get phone recharged friends net think boytoy,1
1341,haha kidding papa needs drugs,1
1342,thk shld b ya wana go lessons haha go one whole stretch,1
1343,oh ok,1
1344,r still meeting dinner tonight,1
1345,shall start hear,1
1346,wait u lor need feel bad lar,1
1347,check got detailed message,1
1348,registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone,2
1349,decided people care stuff vote caring stuff losers,1
1350,kaiez enjoy ur tuition gee thk e second option sounds beta go yan jiu den msg u,1
1351,cool fun practicing making babies,1
1352,actually getting ready leave house,1
1353,k k special today,1
1354,urgent important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting,2
1355,gotta,1
1356,got ten bucks jay noncomittal,1
1357,hungry,1
1358,pls speak customer machan,1
1359,somewhere beneath pale moon light someone think u dreams come true goodnite amp sweet dreams,2
1360,dear u invited xchat final attempt contact u txt chat p msgrcvdhg suite lands row wjhl ldn yrs,1
1361,wats ur opinion abt abt character,1
1362,jay snickering tells x totally fucking chords speak,1
1363,hours went hair cut,1
1364,wonder cos dun rem seeing silver car thk saw black one,1
1365,lmao take pic send,1
1366,speak feel words better silence gud mrng,1
1367,currently scotland,1
1368,work week,1
1369,congratulations ur awarded either £ cd gift vouchers free entry £ weekly draw txt music tncs www ldew com winppmxage,1
1370,lol great im getting hungry,1
1371,yes saw message,1
1372,mu like lt gt seconds,1
1373,thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worried x,1
1374,tell make little spreadsheet track whose idea smoke determine smokes much entire month february come,1
1375,sale arsenal dartboard good condition doubles trebles,1
1376,look back building coat want get sick hurry home wear coat gym,1
1377,painful personal thought always try keep everybody happy time nobody recognises alone,1
1378,thanks lovely wisheds rock,1
1379,intrepid duo great time see soon,1
1380,asked sen come chennai search job,1
1381,dad went oredi,1
1382,jus hope true missin cos really missin done anything feel guilty yet,1
1383,wat late still early mah juz go dinner lor aiya dunno,1
1384,arms fine cardiff uni,1
1385,fact leave think addie goes back school tues wed,1
1386,cool breeze bright sun fresh flower twittering birds waiting wish u goodmorning amp nice day,1
1387,ya going restaurant,1
1388,ok askd u knw tht,1
1389,free st week entry textpod chance win gb ipod £ cash every wk txt pod ts cs www textpod net custcare,1
1390,ducking chinchillas,1
1391,marriage function,1
1392,looks like u wil b getting headstart im leaving bout ish u r desperate company could head earlier goin meet rummer,1
1393,don‘t give flying monkeys wot think certainly don‘t mind friend mine,1
1394,registered optin subscriber ur draw £ gift voucher entered receipt correct ans whats bbc charts,1
1395,say thanks,1
1396,msg rajini comes,1
1397,ya ü taking ure practical lessons start june,1
1398,good need drugs,1
1399,stupid possible,3
1400,ü decide faster cos sis going home liao,1
1401,summers finally fancy chat flirt sexy singles yr area get matched reply summer free join optout txt stop help,1
1402,u sleeping going take haha got spys wat online checking n replying mails lor,1
1403,claire havin borin time alone u wanna cum nite chat hope c u luv claire xx calls£ minmoremobsemspoboxpowa,1
1404,bought one ringtone getting texts costing pound offering tones etc,1
1405,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae lyf nt yet ovr chikku ali vargu lyfu meow meow,1
1406,kinda first one gets twelve aah speak tomo,1
1407,urgent mobile xxxxxxxxx £ bonus caller prize nd attempt reach call asap,1
1408,ok good later come find ü c lucky told ü go earlier later pple take finish ü,1
1409,wat makes u thk fall actually thk quite prone falls lucky dad home ask come n fetch already,1
1410,guaranteed latests nokia phone gb ipod mp player £ prize txt word collect tc llc ny usa p mt msgrcvd,1
1411,wont touch permission,1
1412,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x calls£ minmobsmorelkpoboxhpfl,1
1413,wonders world th th ur style th ur smile th ur personality rd ur nature nd ur sms st ur lovely friendship good morning dear,4
1414,take small dose tablet fever,1
1415,oh u must taken real valentine shopping first,1
1416,sent email – address incomm right,1
1417,gonna blake night might able get little early,1
1418,friendship game play word say doesn\ start march ends may tomorrow yesterday today e,2
1419,nice wait texting right gonna pay ticket ya know,1
1420,watching lotr w sis dis aft u wan meet dinner nite,1
1421,keeping away like,1
1422,think far find check google maps place dorm,1
1423,trip ok quite tiring lor uni starts today ok cos taking modules jus concentrating final yr project,1
1424,always saying welp,1
1425,guy browsin compulsory,1
1426,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu,2
1427,add really care least get dude fuck hey money want,1
1428,hello lover goes new job happy think wake slave send teasing kiss across sea,1
1429,told number gautham,1
1430,tell need investigate anywhere,1
1431,ok juz receive,1
1432,cant believe said many things morning really wanted say good morning love beautiful morning see library later,1
1433,account credited free text messages activate txt word credit cs www biz,1
1434,end might still vomit okay everything come,1
1435,money money aint thing sha,1
1436,everything weather keep extra warm cold nothing serious pls lots vitamin c,1
1437,hey gals anyone u going e driving centre tmr,1
1438,always yahoo messenger send message get may send mobile mode sha get reply,1
1439,putting ready lt time gt,1
1440,time n smile r two crucial things life sometimes time makes us forget smile sometimes someone smile makes us forget time gud noon,1
1441,sms ac jsco energy high u may know channel day ur leadership skills r strong psychic reply ans w question end reply end jsco,1
1442,host based idps linux systems,1
1443,hot live fantasies call p per min ntt ltd po box croydon cr wb national rate call,3
1444,da whats plan,2
1445,ill lt gt ok,1
1446,oh god almost home,1
1447,total video converter free download type google search,1
1448,thanks vote sing along stars karaoke mobile free link reply sing,1
1449,sounds like something someone testing would sayy,1
1450,u love someone dont make love u much u love much dont want loved anyone except gud nit,1
1451,pete phone still jenny college leanne,1
1452,oops sorry check mind picking tomo half eight station would ok,1
1453,hey sweet wondering moment might come want send file someone go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey *teasing kiss*,1
1454,hows champ leaving glasgow,1
1455,k best congrats,1
1456,wonder get text,1
1457,need come home give good lovin,1
1458,brand new mobile music service live free music player arrive shortly install phone browse content top artists,1
1459,shall ask one thing dont mistake,1
1460,check wid corect speling e sarcasm,1
1461,urgent mobile awarded £ bonus caller prize nd attempt contact call boxqu bt national rate,1
1462,angry happen dear,1
1463,thk u dun haf hint e forum already lor cos told ron n darren going tell shuhui,1
1464,yup ok thanx,1
1465,hi cts employee,1
1466,pls pls find aunt nike,1
1467,wow love sooo much know barely stand wonder day goes well love think miss,1
1468,screaming means shouting,1
1469,hey happen de alright,1
1470,picked receipt something earlier,1
1471,think chennai well settled,1
1472,oh dang mean send lol,1
1473,unfortunately found pick sister airport evening think going try go one th,1
1474,horrible bf v hungry,1
1475,remember day,1
1476,nokia get win free auction take part send nokia hg suite lands row wjhl,3
1477,feel mr real valentine yo valentine even tho u hardly play,1
1478,sounds good fingers makes difficult type,1
1479,midnight earliest,1
1480,sure trying make xavier smoke want smoke told smoke much,1
1481,k come nordstrom done,1
1482,u konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dreams,2
1483,press conference da,1
1484,hello orange month free access games news sport plus free texts photo messages reply yes terms apply www orange co uk ow,1
1485,completed degree use joining finance,1
1486,good afternoon love job prospects missing lazy bleak hmmm happy filled love,1
1487,shant disturb u anymore jia,1
1488,bishan lar nearer need buy early cos buy gotta park car,1
1489,dont know oh,1
1490,dude sux snake got old raiden got buff,1
1491,says hi get ass back south tampa preferably kegger,2
1492,e msg jus u said thanks gift,1
1493,u,3
1494,ok dear call chechi,1
1495,yeah totes u wanna,1
1496,ok found dis pierre cardin one looks normal costs sale,1
1497,good sleep rhythm person establish rhythm body learn use want know,1
1498,wat r u,3
1499,message truro hospital ext phone phone side,1
1500,single line big meaning miss anything ur best life miss ur best life anything gud nyt,2
1501,got gas money chance gang want go grand nature adventure,1
1502,dnt worry use ice pieces cloth pack also take tablets,1
1503,dude saw parked car sunroof popped sux,1
1504,get ready put excellent sub face,1
1505,tmrw im finishing doors,1
1506,lt gt g saw days ago guy wants sell wifi lt gt g lt gt blanked,1
1507,whatever im pretty pissed,1
1508,dont much image class,1
1509,got rumour going buy apartment chennai,2
1510,near kalainar tv office thenampet,1
1511,ur cash balance currently pounds maximize ur cash send go p msg cc hg suite lands row wjhl,1
1512,sms auction brand new nokia auction today auction free join take part txt nokia hg suite lands row wjhl,1
1513,sis catching e show e afternoon watching w c u wan watch today tmr lor,1
1514,sounds gd haha wah u yan jiu fast liao,1
1515,nosy guess idk reacting freaked,1
1516,remember hurt days satanic imposter need pay price may destiny keep going u said pray get mind get,1
1517,make girl happy difficult make girls happy u need friend companion lover chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam,1
1518,princess bet brothas chasing,1
1519,shall book chez jules half eight ok,1
1520,hhahhaahahah rofl wtf nig leonardo room something,1
1521,yep derek house see sunday lt,1
1522,cool let know kicks around lt gt day,1
1523,wondering would okay call uncle john let know things nigeria r lt gt dollars years sent know strain plan pay back every dime gives every dime expect anything practical something like,1
1524,charges transfer charges withdraw anyhow like,1
1525,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl,2
1526,let go bill millers,1
1527,love set soul fire spark flame big rawring flame xoxo,1
1528,somewhr someone surely made u god decided perfect time make u meet dat person till den enjoy ur crushes,1
1529,honeymoon outfit,1
1530,help propose going back tomorrow,1
1531,never blame day ur life good days give u happiness bad days give u experience essential life gods blessings good morning,2
1532,pls confirm time collect cheque,1
1533,registered subscriber yr draw £ gift voucher b entered receipt correct ans next olympics txt ans,1
1534,urgent mobile number awarded £ prize guaranteed call land line claim valid hrs ppm,3
1535,daddy take good care,1
1536,yeah probably still gotta check leo,1
1537,k special,1
1538,carlos taking sweet time usual let know patty done want smoke tell haul ass,1
1539,ok pa nothing problem,1
1540,heard job going wildlife talk tonight u wantcome thatworzels wizzle whatever,1
1541,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaid friend u,2
1542,came hostel,2
1543,ok prob come lunch,1
1544,jus telling u dat b leaving shanghai st instead haf time meet cya,1
1545,freezing home yet remember kiss mom morning love think missing yet,1
1546,ready * big day tomorrow,1
1547,probably around mu lot,1
1548,rt king pro video club need help info ringtoneking co uk call must club credits redeemable www ringtoneking co uk enjoy,1
1549,thnx dude u guys nite,1
1550,sef dey laugh meanwhile darling anjie,1
1551,mm food da,1
1552,k makes sense btw carlos difficult guys gonna smoke go pick second batch get gas,1
1553,u download fring app,1
1554,oz guy kinda flaky one friend interested picking lt gt worth tonight possible,1
1555,friends u stay fb chat,1
1556,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love,1
1557,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte,1
1558,ah well confuses things doesn‘t,1
1559,free text msgs text ok credit account,1
1560,hi dear call urgnt know whats problem want work problem least tell wating reply,2
1561,dear ok,1
1562,selected stay top british hotels nothing holiday worth £ claim call london bx swss,1
1563,yes princess want make happy,1
1564,sounds like many talents would like go dinner date next week,1
1565,going film day da pm sorry da,1
1566,watching movie already xy wants shop shopping w,1
1567,hello little party animal thought buzz friends *grins* reminding loved send naughty adoring kiss,1
1568,yesterday going home,1
1569,eerie nokia tones u rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight www getzed co uk poboxwwq p,2
1570,come life brought sun shiny warming heart putting constant smile face making feel loved cared,1
1571,shit surprised went spent evening french guy met town fooled around bit let fuck,1
1572,networks allow companies bill sms responsible suppliers shop give guarantee sell b g,1
1573,great comedy cant stop laughing da,1
1574,freemsg feelin kinda lnly hope u like keep company jst got cam moby wanna c pic txt reply date msgp rcv hlp stop,1
1575,alright set text man,1
